bidx,month,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years
22,9,53.283222,20.325716,30.894037,33.35986,52.360043,21
22,10,60.370342,26.974201,27.584423,30.739744,60.433292,21
22,11,81.102974,49.359497,24.14902,42.727787,75.148865,21
22,12,191.25137,68.27974,124.24247,149.53117,177.67288,21
23,1,299.94272,78.713066,190.43332,213.71402,311.60428,21
23,2,345.42065,78.53487,265.79904,297.07886,338.72397,21
23,3,421.07437,73.535286,326.67084,354.5218,406.97214,21
23,4,393.87048,63.62994,316.7828,344.98178,394.3698,21
23,5,318.2968,101.195595,215.61714,243.13371,288.69815,21
23,6,186.97752,76.36385,93.19929,129.10175,179.31285,21
23,7,143.29376,43.810997,90.285706,104.44842,136.81796,21
23,8,108.073425,36.893826,59.228302,79.34608,110.38727,21
23,9,74.598335,29.395765,46.95013,50.63099,72.120186,21
23,10,73.62798,28.725086,38.68084,47.774273,73.16751,21
23,11,84.74771,46.32468,24.493618,45.62892,75.87867,21
23,12,175.67836,61.576378,108.056076,119.83194,173.99663,21
24,1,299.4234,80.17016,176.49579,212.05394,313.14465,21
24,2,359.21664,79.95709,291.9291,317.80405,347.33432,21
24,3,424.2904,75.70702,305.99033,383.27823,418.33548,21
24,4,388.81207,58.721184,327.24634,336.34332,398.28915,21
24,5,312.69513,101.23527,218.01794,232.89583,293.5362,21
24,6,181.47972,74.94629,95.33379,122.48463,176.15218,21
24,7,140.8464,45.004116,87.52676,99.919235,134.2704,21
24,8,110.88042,37.707596,65.61375,87.16318,112.35008,21
24,9,84.29115,34.207176,49.003586,54.122135,77.42604,21
24,10,81.412125,32.485844,46.532986,52.749176,76.543236,21
24,11,82.49195,42.915867,23.733465,48.33434,76.89458,21
24,12,173.18849,59.545517,107.045784,115.80215,178.36626,21
25,1,299.27612,62.310013,204.3622,246.61536,313.1531,21
25,2,350.4069,66.63023,262.67282,300.89212,353.12573,21
25,3,391.62314,55.349903,327.29477,345.1272,393.83612,21
25,4,386.6268,52.82185,310.47083,343.9646,396.40622,21
25,5,299.62143,85.76808,228.16188,240.49097,276.57202,21
25,6,181.39993,66.85759,122.43469,138.16626,172.73315,21
25,7,145.86522,38.850853,101.09667,118.99416,145.91165,21
25,8,129.11803,39.53889,84.00563,99.253914,115.32685,21
25,9,106.37558,35.746433,67.87538,80.06538,102.89852,21
25,10,97.19194,32.30599,51.877663,73.3409,97.499535,21
25,11,85.566124,37.850758,42.532494,53.074757,77.17128,21
25,12,192.4565,66.28305,126.87995,139.60236,193.19685,21
26,1,315.64044,77.45749,202.77829,239.66212,337.114,21
26,2,368.998,82.96673,260.64963,283.2205,393.04373,21
26,3,439.85483,72.900475,366.8864,372.7129,438.97913,21
26,4,383.9778,65.55269,310.36505,336.10248,388.88916,21
26,5,270.85046,104.97555,156.498,188.02711,252.38922,21
26,6,110.59747,53.753998,58.196365,69.4762,98.04224,21
26,7,84.411865,30.705425,59.761368,66.93015,79.0435,21
26,8,60.80622,19.970543,34.737743,47.997482,63.29842,21
26,9,59.74008,23.771225,35.916943,39.80731,50.786186,21
26,10,75.25218,24.973055,45.738228,50.767624,77.739944,21
26,11,100.66347,50.74561,37.97989,58.318172,91.78783,21
26,12,189.0358,57.04785,130.3687,147.03792,184.4998,21
27,1,320.56326,59.959106,230.59966,258.6286,340.80353,21
27,2,353.99222,58.205257,256.27106,327.43442,369.3064,21
27,3,399.48865,63.04508,331.69946,347.28455,401.44385,21
27,4,375.8107,53.600655,294.949,334.92715,368.44336,21
27,5,299.65997,85.94373,189.70113,225.60158,289.044,21
27,6,166.54535,56.400715,99.36866,136.21259,151.9434,21
27,7,146.08626,44.185616,98.701614,111.53472,142.06636,21
27,8,126.29013,42.43997,70.97386,91.94594,116.34536,21
27,9,121.036446,42.189724,75.31114,91.75422,117.416,21
27,10,105.90216,39.958294,42.943794,79.71537,106.23426,21
27,11,101.94975,43.471653,52.523167,66.803665,100.11558,21
27,12,209.2932,60.919777,153.24591,166.35025,212.19983,21
28,1,305.09338,75.80898,206.11124,240.58672,306.0357,21
28,2,332.1592,81.74834,216.96486,234.67854,352.65207,21
28,3,407.34943,68.91225,343.51456,374.67664,401.01233,21
28,4,348.57065,66.808044,248.21971,294.90253,358.3011,21
28,5,238.51332,97.41853,149.97922,177.21669,222.26018,21
28,6,88.53584,33.82431,55.584988,65.05376,84.33929,21
28,7,71.04391,32.491726,45.6995,49.670124,62.068817,21
28,8,45.170864,11.610199,30.114958,33.405376,46.707672,21
28,9,39.870525,19.155203,20.36344,22.351194,42.411842,21
28,10,54.041473,21.182564,34.11885,37.097,56.808884,21
28,11,96.75519,47.199932,38.513405,55.86846,90.571236,21
28,12,163.965,49.00186,108.127014,123.91303,148.26135,21
29,1,347.41074,77.60292,260.67258,279.79276,344.96207,21
29,2,382.54047,75.87102,294.89755,315.46988,382.75037,21
29,3,447.2944,59.930958,381.46317,413.36914,441.67178,21
29,4,421.6743,48.58413,375.28323,394.0756,403.88818,21
29,5,321.6457,84.81889,229.16685,250.33563,321.91257,21
29,6,194.15468,55.012287,145.03038,164.66982,185.64001,21
29,7,173.26266,45.085632,128.4111,141.57326,172.19466,21
29,8,129.64183,28.01012,95.60261,109.05217,125.32911,21
29,9,81.98312,37.477703,38.7468,55.399952,78.19134,21
29,10,76.8361,32.795387,43.046394,48.108467,76.44206,21
29,11,78.428314,40.159504,33.028072,47.17135,73.78572,21
29,12,193.66458,77.91353,86.39132,142.34717,189.3628,21
30,1,338.12424,89.0242,245.59042,277.3737,339.35873,21
30,2,415.9229,101.81076,282.53723,339.33505,418.8753,21
30,3,484.70578,71.406334,390.62125,455.33197,487.03418,21
30,4,426.0722,66.09819,347.2252,400.98972,421.73944,21
30,5,323.877,93.611115,225.80031,249.38864,318.59958,21
30,6,206.38147,65.108604,142.39873,168.01346,194.8188,21
30,7,181.03427,52.573307,111.48966,143.58826,183.98425,21
30,8,116.26227,30.157434,85.7359,95.00909,116.30933,21
30,9,50.387005,24.199286,16.302273,20.056707,49.679527,21
30,10,46.804783,26.468351,21.30097,26.433336,41.321873,21
30,11,59.439487,36.770363,13.232332,34.68693,52.616913,21
30,12,146.80222,75.78995,56.52659,86.785385,144.88353,21
31,1,329.39444,115.21191,214.25993,244.24942,320.4826,21
31,2,446.05347,131.38016,268.9667,336.19144,444.86972,21
31,3,531.91077,89.19732,427.19946,485.06546,518.18634,21
31,4,454.65616,82.94725,371.1238,404.41568,448.52145,21
31,5,339.68555,131.19127,215.8639,224.5706,329.82376,21
31,6,216.96803,75.575676,132.92865,154.26584,198.01881,21
31,7,170.0737,46.517143,115.82951,131.1193,173.91595,21
31,8,83.00067,26.009747,56.650375,61.243134,77.754456,21
31,9,23.19293,10.382187,9.222846,9.833586,22.204533,21
31,10,20.86379,13.119214,9.03644,11.279995,15.704265,21
31,11,32.422333,23.161991,7.386604,15.022672,24.856562,21
31,12,99.23775,58.757984,37.00241,42.531372,98.566536,21
32,1,277.44745,94.617485,174.50948,209.25562,261.43546,21
32,2,356.57272,97.352325,223.89836,279.40805,366.9382,21
32,3,440.54218,76.487305,356.91846,388.1572,454.06348,21
32,4,392.66733,58.93852,302.28455,359.36545,393.8514,21
32,5,305.95572,98.83778,198.60455,241.03992,303.3971,21
32,6,198.35826,47.579704,153.74182,170.33183,199.99446,21
32,7,166.13591,41.015106,118.5042,131.01953,165.75923,21
32,8,90.33949,21.68807,70.20614,72.00912,86.76394,21
32,9,34.268963,15.152447,14.821941,21.015726,35.139927,21
32,10,26.527472,13.745027,10.513498,15.777977,23.6429,21
32,11,29.370615,18.984425,6.254895,14.662472,22.372618,21
32,12,88.386955,43.92798,33.06056,53.466278,90.9556,21
