bidx,start,end,duration_days,start_year,end_year,crosses_new_year,deficit_mm,mean_intensity,max_intensity,peak_date,severe_days,wet_days_absorbed,min_p30_mm,duration_class,severity,severe_day_share
8,2025-01-28,2025-02-11,15,2025,2025,False,6.683546543121338,0.0729937776923179,0.2082488685846328,2025-01-29,0,1,131.77044677734375,short 15-29 d,mild,0.0
8,2025-04-09,2025-05-17,39,2025,2025,False,61.08478927612305,0.1622498035430908,0.2797939479351043,2025-04-29,33,0,212.10760498046875,moderate 30-59 d,severe,0.846
8,2025-10-03,2025-11-19,48,2025,2025,False,12.711902618408203,0.3526788651943207,0.5909813642501831,2025-11-03,28,0,9.292177200317385,moderate 30-59 d,severe,0.583
9,2019-03-24,2019-04-18,26,2019,2019,False,18.675512313842773,0.0807008668780326,0.2249637246131897,2019-04-06,9,2,207.033432006836,short 15-29 d,moderate,0.346
9,2020-02-03,2020-02-21,19,2020,2020,False,20.559490203857425,0.1676532626152038,0.3594547808170318,2020-02-09,9,3,123.32434844970705,short 15-29 d,moderate,0.474
9,2020-10-17,2020-11-02,17,2020,2020,False,2.67643666267395,0.1880648881196975,0.486883670091629,2020-11-01,5,0,13.318798065185549,short 15-29 d,moderate,0.294
9,2021-06-15,2021-07-04,20,2021,2021,False,9.572407722473145,0.0695401579141616,0.1496030986309051,2021-06-26,3,1,166.3640594482422,short 15-29 d,mild,0.15
9,2022-04-29,2022-05-22,24,2022,2022,False,22.9798526763916,0.0935799181461334,0.2784752249717712,2022-05-12,13,2,207.728256225586,short 15-29 d,severe,0.542
9,2022-06-19,2022-07-03,15,2022,2022,False,7.534131050109863,0.0655918940901756,0.1675321161746978,2022-07-01,2,1,162.0145263671875,short 15-29 d,mild,0.133
9,2022-10-07,2022-10-30,24,2022,2022,False,4.912943840026856,0.2641052901744842,0.4720610082149505,2022-10-26,10,0,12.665858268737791,short 15-29 d,moderate,0.417
9,2023-03-31,2023-05-09,40,2023,2023,False,64.68490600585938,0.1714238822460174,0.413344144821167,2023-04-15,28,0,165.36175537109375,moderate 30-59 d,severe,0.7
9,2023-09-01,2023-09-21,21,2023,2023,False,18.186656951904297,0.6143409013748169,0.8246396780014038,2023-09-08,21,0,8.026318550109863,short 15-29 d,severe,1.0
9,2023-10-22,2023-11-25,35,2023,2023,False,6.6145548820495605,0.1955926120281219,0.6092772483825684,2023-11-18,4,0,12.262117385864258,moderate 30-59 d,mild,0.114
9,2024-02-06,2024-02-23,18,2024,2024,False,17.468950271606445,0.1478291153907776,0.3977256417274475,2024-02-12,7,0,120.22991943359376,short 15-29 d,moderate,0.389
